Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
47,746,"1,028.07","1,416.79","1,950.14","2,678.50","3,666.95","4,990.01","6,693.75","8,996.94","11,893.61","15,571.88","19,135.86","22,361.67","25,622.19","27,079.69","29,247.20","29,769.07","31,029.50","32,090.00","33,696.07","34,736.94","35,343.16","34,630.38","34,562.87","32,421.50","32,782.26","32,462.55","32,364.87","32,377.22","31,892.71","31,374.30"
48,746,"1,028.65","1,418.40","1,952.32","2,677.72","3,670.46","4,965.96","6,682.49","9,003.72","11,937.06","15,647.45","19,306.24","23,575.10","26,265.18","29,250.85","31,088.03","32,770.90","33,183.97","35,112.96","33,358.11","34,484.14","32,428.85","32,118.08","31,778.26","32,263.78","33,396.60","33,144.07","34,347.30","33,372.15","33,712.73","33,754.32"
49,746,"1,026.42","1,412.25","1,945.48","2,670.51","3,641.57","4,955.68","6,679.55","9,025.78","11,833.67","15,596.12","19,246.53","23,576.32","28,029.12","31,188.83","34,004.09","35,610.03","35,195.97","35,427.79","33,216.74","32,921.75","32,446.84","32,322.07","32,503.28","32,944.83","33,310.29","34,162.94","35,019.95","34,370.38","34,919.39","34,045.45"
50,746,"1,028.91","1,419.11","1,947.94","2,667.54","3,634.43","4,962.42","6,717.79","8,931.90","11,874.61","15,119.24","18,901.17","22,570.13","26,323.35","28,524.81","30,534.70","32,269.72","33,503.07","34,072.89","34,336.13","33,090.96","32,839.41","33,069.00","32,012.16","32,172.62","30,615.92","29,412.81","28,324.34","28,153.71","28,041.71","29,201.44"
51,746,"1,028.33","1,417.51","1,953.20","2,684.17","3,659.93","4,975.45","6,685.64","9,033.40","12,070.13","15,666.31","20,029.64","23,354.91","26,877.22","28,703.20","29,402.21","30,385.85","31,313.93","32,121.29","34,300.15","34,807.38","34,547.94","33,942.70","33,526.57","32,304.24","33,303.85","33,471.70","34,886.72","35,102.10","34,798.12","34,233.99"
52,746,"1,029.16","1,419.80","1,950.38","2,677.49","3,650.29","4,978.73","6,689.25","9,024.98","12,043.83","15,821.76","19,562.75","23,211.55","25,227.45","27,350.70","28,364.84","29,189.01","29,485.02","30,204.33","31,384.58","31,625.89","32,952.11","33,431.37","33,858.02","35,365.40","35,298.06","34,845.11","35,425.45","33,159.14","33,278.78","32,780.10"
53,746,"1,027.65","1,415.63","1,948.89","2,671.11","3,642.07","4,970.93","6,680.25","8,931.76","11,969.71","15,673.68","20,322.98","25,000.97","29,090.07","32,159.17","32,931.99","34,584.08","33,658.43","33,802.19","32,466.23","32,937.67","32,896.09","33,789.55","34,770.89","35,579.42","35,101.89","34,958.48","34,076.13","33,078.79","33,466.24","32,786.77"
54,746,"1,029.22","1,419.96","1,954.12","2,687.10","3,657.06","4,947.15","6,638.76","8,923.94","11,808.96","15,502.92","19,114.59","23,296.77","26,335.59","29,250.42","31,913.76","32,341.41","33,758.15","32,973.34","33,502.76","32,810.82","31,774.00","32,167.58","31,978.59","33,239.38","34,001.66","34,641.58","35,659.56","36,437.28","36,103.11","35,400.81"
55,746,"1,026.36","1,412.09","1,942.56","2,656.91","3,641.56","4,970.59","6,741.65","9,101.85","12,041.73","15,915.64","19,683.83","23,463.90","26,014.29","28,217.96","29,700.58","31,846.27","33,835.48","34,708.64","34,483.12","33,968.44","33,828.07","32,545.38","32,353.34","32,056.33","30,777.88","29,917.82","29,768.51","28,834.66","28,426.78","29,120.96"
56,746,"1,028.95","1,419.22","1,954.29","2,672.81","3,664.75","4,992.11","6,723.36","9,079.49","12,068.88","15,723.09","19,735.64","22,769.82","26,308.04","28,645.50","31,105.84","33,395.87","34,052.70","34,204.83","32,655.00","30,970.89","29,901.28","28,935.23","29,266.93","28,641.10","29,537.11","29,600.15","30,815.76","31,232.93","31,366.08","32,033.81"
57,746,"1,028.50","1,417.97","1,951.27","2,680.34","3,658.99","4,952.51","6,674.12","8,859.44","11,686.59","14,861.17","18,322.41","21,525.65","24,279.14","26,074.94","27,033.29","28,856.32","29,614.58","31,150.99","32,320.30","32,840.63","33,122.22","33,522.42","32,629.12","31,967.23","31,218.93","31,115.48","31,861.83","33,296.54","34,113.03","34,772.31"
58,746,"1,026.77","1,413.21","1,947.05","2,677.04","3,661.92","4,975.03","6,693.94","9,039.79","12,115.34","16,017.73","20,713.27","24,837.21","28,933.27","31,848.21","34,407.75","34,728.45","34,772.43","33,152.25","31,717.19","30,462.53","30,378.98","30,267.46","31,344.05","31,795.41","32,226.35","31,457.69","30,783.10","29,972.47","30,223.09","29,921.70"
59,746,"1,027.58","1,415.44","1,942.74","2,671.54","3,657.80","4,958.54","6,743.99","8,956.70","11,947.82","15,158.35","19,441.89","23,139.22","27,543.07","30,400.43","32,595.34","34,654.43","34,216.59","34,976.64","33,204.76","32,378.12","31,781.22","31,648.38","32,802.49","34,130.49","35,380.48","35,374.66","36,215.05","35,561.44","36,537.40","35,332.67"
60,746,"1,027.37","1,414.87","1,943.71","2,668.98","3,653.49","4,980.23","6,763.77","9,122.78","12,190.49","16,080.38","20,172.54","24,289.41","27,821.68","31,059.80","34,093.58","35,499.12","37,325.74","36,100.92","36,106.53","35,297.61","33,793.26","33,068.09","32,730.10","32,211.47","32,089.58","31,167.09","30,203.96","30,003.65","29,066.68","28,875.94"
61,746,"1,029.24","1,420.02","1,949.93","2,669.38","3,632.89","4,955.31","6,728.87","9,022.45","11,973.24","15,701.31","19,347.07","23,909.65","26,146.66","28,936.84","30,062.60","29,931.61","30,280.37","29,815.94","30,624.63","30,737.69","30,713.55","29,940.38","30,078.49","30,399.19","30,529.14","30,960.23","29,729.71","28,695.69","28,338.29","28,024.44"
62,746,"1,029.38","1,420.41","1,955.32","2,678.98","3,655.95","4,989.84","6,709.97","8,962.49","11,800.04","15,153.85","18,619.89","21,718.42","24,261.47","26,093.11","27,926.39","28,382.16","30,605.38","30,636.65","32,661.51","33,661.80","33,518.18","33,012.73","32,453.24","32,094.63","33,064.75","33,994.77","34,397.84","35,517.73","34,936.96","35,082.18"
63,746,"1,026.40","1,412.19","1,943.60","2,663.32","3,633.18","4,965.28","6,746.00","9,116.17","12,189.68","15,802.86","20,119.70","23,323.58","27,329.24","30,343.54","33,203.52","33,829.10","33,849.14","31,883.87","31,493.67","30,496.99","30,482.58","29,482.22","29,212.47","28,376.40","28,779.66","29,009.57","28,756.97","29,735.55","29,931.18","29,651.43"
64,746,"1,028.47","1,417.89","1,948.22","2,674.33","3,646.90","4,978.82","6,749.69","8,977.17","11,859.21","15,304.39","19,152.75","23,712.17","28,079.82","31,959.38","35,375.82","36,862.96","36,757.23","36,507.43","34,564.19","33,817.72","32,985.94","31,256.29","31,497.77","29,570.03","29,786.90","29,514.73","30,326.89","31,063.24","32,315.00","33,250.14"
65,746,"1,028.49","1,417.96","1,952.61","2,685.03","3,679.07","5,026.59","6,836.34","9,130.94","11,971.70","15,434.63","18,750.26","22,685.89","26,079.34","28,454.86","31,237.64","32,639.90","33,301.94","34,230.44","34,287.19","33,644.89","34,724.42","34,515.75","35,409.04","36,104.40","36,441.13","37,175.41","37,353.68","36,323.79","36,477.78","35,914.00"
66,746,"1,027.24","1,414.50","1,946.65","2,663.43","3,650.31","4,964.23","6,703.60","8,940.20","11,704.26","15,073.19","18,079.52","21,909.36","25,300.33","28,205.40","31,483.51","33,664.93","34,420.73","35,653.90","35,239.43","36,073.69","34,917.57","33,959.75","33,965.81","31,866.17","31,972.28","31,102.59","30,862.24","29,821.17","30,461.71","30,004.43"
67,746,"1,028.71","1,418.55","1,952.66","2,673.19","3,640.42","4,954.70","6,731.89","8,995.53","11,935.40","15,384.00","19,499.84","23,618.64","28,278.00","30,700.72","33,351.67","33,823.77","34,925.71","34,815.85","34,877.12","34,565.59","32,904.33","33,634.67","31,392.22","30,949.12","29,748.38","29,002.99","29,563.70","29,696.02","31,528.35","32,251.93"
68,746,"1,028.91","1,419.11","1,952.82","2,681.03","3,673.66","5,000.04","6,740.15","8,944.57","11,753.81","14,846.59","18,286.79","21,353.32","24,960.76","27,965.90","29,899.91","32,780.17","33,880.29","34,314.59","34,432.97","33,478.93","32,459.74","31,995.21","31,215.55","31,307.82","32,018.35","31,912.78","33,040.86","33,750.01","34,234.75","34,796.84"
